Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Rovereto,22161,322,1986,E,77.8,64.3,142.5,0.0,0.0,2713,40.7,222
Arco,22006,258,1930,E,327.1,23.8,324.2,0.0,0.0,2380,69.6,223
Calliano,22035,56,2006,E,121.58,29.0,150.96,0.0,0.0,2686,30.49,224
Mezzolombardo,22117,232,1900,E,141.39,23.73,167.59,0.0,0.0,2835,33.35,225
Rovereto,22161,322,1980,E,123.63,19.56,145.3,0.0,0.0,2713,28.6,226
Pergine Valsugana,22139,424,2003,F,18.88,0.03,22.39,0.0,0.0,3147,12.8,227
Mori,22123,245,2006,E,141.67,23.42,166.14,0.0,0.0,2713,33.0,228
Campodenno,22037,388,1969,F,242.61,23.65,309.34,0.0,0.0,3224,71.13,229
Avio,22007,12,2003,E,143.2,25.7,162.0,0.0,0.0,2580,33.7,230
Pergine Valsugana,22139,424,1999,F,125.81,29.53,174.66,0.0,0.0,3147,31.0,231
Lavis,22103,185,1982,E,119.0,80.8,198.9,0.0,0.0,2784,34.4,232
Moena,22118,235,2008,F,50.36,5.8,93.77,0.0,0.0,4238,9.85,233
Pergine Valsugana,22139,273,1965,F,151.5,28.0,204.33,0.0,0.0,3147,36.0,234
Pinzolo,22143,280,1969,F,56.7,146.0,220.1,0.0,0.0,3592,34.7,235
Vallarsa,22210,413,1920,F,211.75,57.59,317.74,0.0,0.0,3520,39.49,236
Nago-Torbole,22124,248,1980,E,82.05,24.71,105.37,0.0,0.0,2276,21.33,237
Caldonazzo,22034,55,1969,F,222.06,21.13,246.96,0.0,0.0,3089,48.58,238
Pergine Valsugana,22139,273,1985,F,43.81,28.17,80.74,0.0,0.0,3147,14.0,239
Pergine Valsugana,22139,273,1985,F,72.95,28.48,115.46,0.0,0.0,3147,20.0,240
Tesero,22196,393,1920,F,31.03,20.27,71.65,0.0,0.0,4028,10.18,241
Tesero,22196,393,1920,F,36.1,18.71,74.8,0.0,0.0,4028,10.87,242
Mezzana,22114,228,1975,F,181.95,27.2,303.21,0.0,0.0,3859,56.16,243
Folgaria,22087,154,1850,F,81.17,8.0,140.36,0.0,0.0,4141,20.12,244
Carisolo,22042,72,1990,F,182.3,67.6,318.3,0.0,0.0,3651,43.3,245
Ton,22200,217,2011,F,25.29,30.71,74.63,0.0,0.0,3143,11.49,246
Ton,22200,217,2011,F,28.46,26.41,73.98,0.0,0.0,3143,11.18,247
Ton,22200,217,2011,F,18.22,30.32,60.28,0.0,0.0,3143,9.97,248
Ledro,22229,142,2012,F,12.1,4.02,20.11,0.0,0.0,3420,3.52,249
Telve,22188,382,1900,F,168.35,32.56,229.9,0.0,0.0,3249,40.57,250
Castel Condino,22045,80,1920,F,134.59,27.6,211.18,0.0,0.0,3656,43.22,251
Cavalese,22050,86,1980,F,148.68,57.41,257.31,0.0,0.0,4028,41.14,252
Predazzo,22147,290,1980,F,154.1,30.7,267.6,0.0,0.0,4295,40.9,253
Dro,22079,140,2006,E,241.08,23.43,256.98,0.0,0.0,2354,52.0,254
Romeno,22155,311,1920,F,374.77,17.5,514.85,0.0,0.0,3890,64.57,255
Cavedine,22053,428,1970,F,371.62,30.87,443.46,0.0,0.0,3177,107.49,256
Arco,22006,9,1995,E,97.3,24.62,118.14,0.0,0.0,2380,25.16,257
Imer,22097,171,1947,F,92.24,30.42,152.8,0.0,0.0,3436,0.6,258
Roncegno Terme,22156,312,1973,F,173.75,44.6,256.5,0.0,0.0,3120,8.89,259
Roncegno Terme,22156,312,2001,F,77.72,22.52,119.12,0.0,0.0,3120,20.03,260
Pelugo,22138,271,1900,F,539.72,21.64,717.14,0.0,0.0,3408,196.0,261
Sfruz,22173,352,1984,F,26.41,8.31,54.68,0.0,0.0,3974,13.0,262
Arco,22006,258,1980,E,111.77,21.0,127.38,0.0,0.0,2380,26.98,263
Arco,22006,258,1980,E,226.59,22.1,241.48,0.0,0.0,2380,50.49,264
Ossana,22131,261,2005,F,123.0,23.4,204.6,0.0,0.0,3955,28.5,265
Cles,22062,106,1930,F,95.64,14.97,128.41,0.0,0.0,3265,30.5,266
Cles,22062,106,1930,F,101.08,14.93,134.59,0.0,0.0,3265,32.0,267
Caderzone Terme,22029,49,1965,F,219.6,36.1,317.4,0.0,0.0,3519,67.1,268
Riva del Garda,22153,307,1961,E,413.52,20.13,413.73,0.0,0.0,2276,88.0,269
Ledro,22229,238,1970,F,291.9,17.1,367.6,0.0,0.0,3420,85.6,270
Folgaria,22087,154,1975,F,66.04,28.62,134.53,0.0,0.0,4141,26.9,271
Novaledo,22129,257,1965,F,128.03,16.19,168.11,0.0,0.0,3026,28.81,272
Ronzo-Chienis,22135,317,1930,F,54.35,1.67,79.56,0.0,0.0,3837,15.4,273
Cles,22062,106,2007,F,47.72,16.04,78.56,0.0,0.0,3265,12.73,274
Grigno,22095,168,2011,E,38.01,11.22,53.05,0.0,0.0,2801,10.4,275
Cles,22062,106,2007,F,53.54,17.78,84.43,0.0,0.0,3265,14.25,276
Andalo,22005,7,2002,F,83.76,23.76,143.84,0.0,0.0,4016,25.35,277
Folgaria,22087,154,1975,F,66.04,28.62,134.53,0.0,0.0,4141,26.9,278
Cles,22062,106,2007,F,55.55,17.78,86.84,0.0,0.0,3265,14.65,279
Arco,22006,140,1985,E,185.3,26.63,206.15,0.0,0.0,2380,42.0,280
Mezzolombardo,22117,232,1999,E,64.26,50.48,115.82,0.0,0.0,2835,31.1,281
Folgaria,22087,154,1975,F,124.08,28.37,221.45,0.0,0.0,4141,42.5,282
Bocenago,22018,28,1985,F,126.6,162.4,330.5,0.0,0.0,3561,49.4,283
Storo,22183,128,2008,F,28.86,1.59,35.06,0.0,0.0,3029,6.14,284
Ronzo-Chienis,22135,317,1950,F,65.49,0.0,94.76,0.0,0.0,3837,18.01,285
Lavis,22103,185,1958,E,103.86,23.65,130.5,0.0,0.0,2784,25.47,286
San Michele all'Adige,22167,333,2008,E,118.28,50.46,170.3,0.0,0.0,2849,34.72,287
Ronzo-Chienis,22135,317,1989,F,89.3,2.65,131.46,0.0,0.0,3837,25.16,288
San Michele all'Adige,22167,333,2008,E,105.11,44.91,152.37,0.0,0.0,2849,30.82,289
Carzano,22043,74,1900,F,547.2,60.82,688.5,0.0,0.0,3066,298.0,290
Nogaredo,22127,339,2007,E,117.2,25.6,144.1,0.0,0.0,2731,28.5,291
San Michele all'Adige,22167,333,2008,E,153.17,40.66,196.22,0.0,0.0,2849,39.51,292
Ala,22001,2,1900,E,124.93,24.19,146.47,0.0,0.0,2672,29.8,293
Nogaredo,22127,339,2007,E,249.1,25.6,277.2,0.0,0.0,2731,54.9,294
